Date,beta0,beta1,beta2,Taux directeur,IPC,europe_beta0,europe_beta1,europe_beta2
2018-04-01,5.1239167296667,-2.9209027082274304,-2.0102550451370225,2.25,101.5,1.6757556676517726,-2.3209083358157345,-2.995009279146136
2018-05-01,5.114902148234638,-2.874764162989339,-2.075780265423701,2.25,102.1,1.6573766738793356,-2.280659936379572,-2.9185489142948557
2018-06-01,5.112375922254947,-2.8272896073846883,-2.157606460395998,2.25,102.4,1.6458099605374208,-2.2011185550764,-3.2596686056882063
2018-07-01,5.06786732782836,-2.7740554008712786,-2.0455062071212846,2.25,101.4,1.5868076751213964,-2.142039278232986,-3.3399494334051973
2018-08-01,5.069708579008827,-2.7562464542142195,-2.085741554241518,2.25,101.4,1.4718398256826544,-2.0497682845438017,-3.0700021201808303
2018-09-01,5.047084288325213,-2.72705746695203,-1.993886101446058,2.25,101.8,1.487687972979581,-2.072826050094605,-2.9377323887189504
2018-10-01,4.999133725321407,-2.664861289517791,-1.8709239529464392,2.25,101.6,1.5461150381723638,-2.129754794965048,-2.746788993593257
2018-11-01,4.937686553308548,-2.5994585506155485,-1.6825272276642649,2.25,102.1,1.505433239330748,-2.1733569464446902,-2.7049451801245685
2018-12-01,4.929174625716221,-2.6089113360274374,-1.55475530715729,2.25,101.4,1.516570346054606,-2.1939881499107496,-2.696953727939034
2019-01-01,4.928087818963841,-2.592912094286735,-1.5741537950192417,2.25,100.9,1.3594930507848186,-2.096779315864824,-2.3343513587910154
2019-02-01,4.961859325770282,-2.611617832200888,-1.7102559241997888,2.25,100.9,1.2965928958651534,-1.8364037617576123,-2.773996457994908
2019-03-01,5.041008479738939,-2.686191387139708,-2.273916586059813,2.25,100.9,1.2528838940253944,-1.7563715488667744,-2.6078023198440934
2019-04-01,5.066532681396784,-2.7174665774398346,-2.583385321215541,2.25,101.5,1.2372880015279473,-1.764586507637175,-2.443953219512298
2019-05-01,5.036913128898883,-2.692406592303262,-2.638299004366468,2.25,102.4,1.1958708317689697,-1.7154127190551858,-2.5392778376010265
2019-06-01,4.975366721046635,-2.6317188943238987,-2.826013535524616,2.25,102.6,1.0886616979205457,-1.601341240195628,-2.674328350880792
2019-07-01,4.852061662106631,-2.514393531828247,-2.670659614734822,2.25,101.7,0.8042604437536963,-1.3219899287645442,-2.567643536737877
2019-08-01,4.813029098159937,-2.4720008131632207,-2.6128671387687668,2.25,102.1,0.750556743816665,-1.336304733861359,-2.518130855677346
2019-09-01,4.7585229834984935,-2.4519724776412515,-2.462325340159901,2.25,101.9,0.292756779444184,-0.9993603007747368,-2.1338972135742007
2019-10-01,4.6855265680669245,-2.409874933883253,-2.2885718619180744,2.25,102.1,0.3509785899393786,-1.020095837429624,-2.037463353927106
2019-11-01,4.630780882990582,-2.3308728728775265,-2.5064456325315687,2.25,102.5,0.4675987860072439,-1.0834411617023838,-1.932791177181456
2019-12-01,4.494946888849646,-2.1544555406528025,-2.6145106792689643,2.25,102.5,0.5888375205841119,-1.1784015507946264,-1.8124148582923305
2020-01-01,4.470181589606775,-2.1082135579780976,-2.8316721437476597,2.25,102.3,0.6218150919035809,-1.2614286394358012,-1.6655152926915513
2020-02-01,4.474673946670957,-2.0773539685903404,-3.0467347070580955,2.25,102.1,0.6804946078433535,-1.2514481482174475,-1.807677536968588
2020-03-01,4.232338139334456,-1.821619351487392,-2.5658717694137025,2.25,102.5,0.4967913782336646,-1.077124749989907,-1.8564089262713528
2020-04-01,4.157214773544904,-1.736383961361465,-2.348290929031525,2.0,102.4,0.1230317724873257,-0.8154950852502723,-1.4746601185631696
2020-05-01,4.09350981643831,-1.7422389650252796,-2.0384692783177747,2.0,102.2,0.2833749337196051,-0.8300033616573235,-1.5981373976488968
2020-06-01,4.000906217253074,-1.8382830205805265,-1.453017697157313,2.0,101.9,0.2859436182093595,-0.781191289370667,-1.903829917276163
2020-07-01,3.95831347831353,-2.051325799460767,-1.3750235631039271,1.5,101.6,0.4365691860507559,-0.9530778242388828,-1.877414116871932
2020-08-01,3.854873625281733,-2.262841978577996,-1.6848766839538052,1.5,103.0,0.324283533962232,-0.8611570970255045,-1.8260387112025684
2020-09-01,3.8390722780644735,-2.2034493812566707,-1.6803894157837185,1.5,103.3,0.334654347271078,-0.8711331915114386,-1.8559684321995376
2020-10-01,3.735118612630358,-2.145321216557293,-1.319971452734814,1.5,103.4,0.3025955742483845,-0.8455912399115326,-1.8772336449676224
2020-11-01,3.711017055068476,-2.1646845251514995,-1.1547583096506226,1.5,102.7,0.1831583781544997,-0.806884129186235,-1.737345167050462
2020-12-01,3.81517474810988,-2.175448498889373,-1.24861221848831,1.5,102.2,0.1625253932821235,-0.8183766562592061,-1.6232093324536656
2021-01-01,3.77080054362782,-2.143498365576978,-1.0785074317029983,1.5,102.3,0.166325522790884,-0.877835072061139,-1.4471501834615286
2021-02-01,3.867216739793382,-2.388134202020018,-1.529155692470335,1.5,102.4,0.2083048056444464,-0.7976141149874187,-1.7573913101234713
2021-03-01,3.8096693119840936,-2.373929534248381,-1.6115568025051696,1.5,102.6,0.4585912814684351,-1.0359196494420282,-1.969851345771931
2021-04-01,3.7135535636015424,-2.2997154161654465,-1.364405379353178,1.5,103.8,0.6091267815383387,-1.1717753883765725,-2.224877176445612
2021-05-01,3.680686660622549,-2.257455583991816,-1.2282107965849656,1.5,104.1,0.655338194319461,-1.2303327095009728,-2.287953818687616
2021-06-01,3.704114559610861,-2.274775751438442,-1.3503119727916464,1.5,103.4,0.7868769151859888,-1.3623339470196436,-2.3269458226708712
2021-07-01,3.674189725976363,-2.2389988269920966,-1.2913324641391093,1.5,103.8,0.6861097051697493,-1.2745975770067766,-2.22684878666833
2021-08-01,3.637804748793517,-2.181615209720572,-1.2093829026996632,1.5,103.8,0.5167090953270871,-1.1238757155090071,-2.1062734944378603
2021-09-01,3.596810167175873,-2.1350164413878194,-1.0863657731456886,1.5,104.5,0.3284048521539938,-0.9319534669422826,-2.0846481587814965
2021-10-01,3.6225553602044,-2.1482066339754904,-1.126507971717961,1.5,105.2,0.5204507287286737,-1.157214352690764,-2.0095009197649976
2021-11-01,3.638204777702648,-2.1529408343191574,-1.1709706730008942,1.5,105.4,0.5182886938331294,-1.1968336137368014,-1.7312764490472086
2021-12-01,3.70191901498741,-2.218636645498845,-1.3731160895360923,1.5,105.5,0.2740060224363478,-1.0955443100114073,-1.3492709012446071
2022-01-01,3.685676199602984,-2.1573965575156087,-1.4514700507680487,1.5,105.5,0.2004459470219939,-0.9774113527030668,-1.098433899256011
2022-02-01,3.663937850923392,-2.0969988321079867,-1.4185598796169716,1.5,106.1,0.4071161998714469,-1.0824126693193858,-1.3377464992321688
2022-03-01,3.603600813226053,-2.048631375911651,-1.057619614080468,1.5,108.0,0.5246650757558092,-1.2184141096243593,-1.368897228262442
2022-04-01,3.5772295937690037,-2.0270091085527837,-0.9230841131825974,1.5,109.9,0.6752487118527996,-1.4101997405992437,-1.433793973340009
2022-05-01,3.5887308643597216,-2.0095577642094136,-0.889917017050482,1.5,110.2,1.0492400733010905,-1.6960723362264014,-2.043825295839652
2022-06-01,3.5926731123139994,-1.96627118739732,-0.8115583581227811,1.5,110.8,1.3193943572420623,-1.8295900637156997,-1.905020906928116
2022-07-01,3.556515535413133,-1.870190111972988,-0.6964588779132331,1.5,111.8,1.8359378889495503,-2.548210839752005,-0.116205816930663
2022-08-01,3.6021641612429063,-1.8763076082198744,-0.7140769219889544,1.5,112.1,1.7527912440157951,-1.9508961127868016,-0.0172577355541375
2022-09-01,3.758255041626806,-1.8494065437247136,-1.4576846456063253,1.5,113.2,1.588732817080624,-1.5506678811318837,0.0107348375302284
