Date,beta0,beta1,beta2,Taux directeur,europe_beta0,europe_beta1,europe_beta2,Taux directeur_diff,beta0_diff,beta1_diff,beta2_diff,europe_beta0_diff,europe_beta1_diff,europe_beta2_diff
2018-03-01,5.100691137386462,-2.839115651909752,-1.908443080428203,2.25,1.7771872975973009,-2.350196835076586,-3.337783839514867,0.0,0.18059565454365067,-0.18791318908563692,-0.5036794829440787,0.007764303357443936,0.01517086850195426,-0.2008180656981695
2018-04-01,5.1239167296667,-2.9209027082274304,-2.0102550451370225,2.25,1.6757556676517726,-2.3209083358157345,-2.995009279146136,0.0,0.02322559228023824,-0.08178705631767835,-0.10181196470881937,-0.10143162994552823,0.02928849926085153,0.3427745603687309
2018-05-01,5.114902148234638,-2.874764162989339,-2.075780265423701,2.25,1.6573766738793356,-2.280659936379572,-2.918548914294856,0.0,-0.00901458143206213,0.04613854523809158,-0.06552522028667873,-0.018378993772437013,0.04024839943616243,0.07646036485127983
2018-06-01,5.112375922254947,-2.8272896073846883,-2.157606460395998,2.25,1.6458099605374208,-2.2011185550764,-3.2596686056882063,0.0,-0.002526225979690544,0.047474555604650526,-0.08182619497229693,-0.011566713341914836,0.07954138130317201,-0.3411196913933501
2018-07-01,5.06786732782836,-2.7740554008712786,-2.0455062071212846,2.25,1.5868076751213964,-2.142039278232986,-3.3399494334051973,0.0,-0.0445085944265875,0.05323420651340971,0.11210025327471351,-0.05900228541602437,0.059079276843414075,-0.08028082771699108
2018-08-01,5.069708579008827,-2.7562464542142195,-2.085741554241518,2.25,1.4718398256826544,-2.0497682845438017,-3.0700021201808303,0.0,0.001841251180467296,0.01780894665705901,-0.04023534712023347,-0.11496784943874205,0.09227099368918434,0.26994731322436705
2018-09-01,5.047084288325213,-2.72705746695203,-1.993886101446058,2.25,1.487687972979581,-2.072826050094605,-2.9377323887189504,0.0,-0.0226242906836136,0.029188987262189325,0.09185545279546004,0.01584814729692674,-0.0230577655508033,0.13226973146187992
2018-10-01,4.999133725321407,-2.664861289517791,-1.8709239529464392,2.25,1.5461150381723638,-2.129754794965048,-2.746788993593257,0.0,-0.0479505630038064,0.062196177434239,0.12296214849961884,0.058427065192782734,-0.05692874487044319,0.19094339512569336
2018-11-01,4.937686553308548,-2.5994585506155485,-1.6825272276642649,2.25,1.505433239330748,-2.1733569464446902,-2.7049451801245685,0.0,-0.06144717201285932,0.06540273890224269,0.18839672528217433,-0.040681798841615935,-0.04360215147964208,0.041843813468688484
2018-12-01,4.929174625716221,-2.6089113360274374,-1.55475530715729,2.25,1.516570346054606,-2.1939881499107496,-2.696953727939034,0.0,-0.008511927592326884,-0.009452785411888875,0.12777192050697495,0.011137106723858148,-0.0206312034660594,0.007991452185534431
2019-01-01,4.928087818963841,-2.592912094286735,-1.5741537950192417,2.25,1.3594930507848186,-2.096779315864824,-2.3343513587910154,0.0,-0.0010868067523794878,0.01599924174070244,-0.019398487861951752,-0.15707729526978742,0.09720883404592584,0.3626023691480187
2019-02-01,4.961859325770282,-2.611617832200888,-1.7102559241997888,2.25,1.2965928958651534,-1.8364037617576123,-2.773996457994908,0.0,0.03377150680644103,-0.018705737914153087,-0.1361021291805471,-0.06290015491966527,0.26037555410721147,-0.4396450992038927
2019-03-01,5.041008479738939,-2.686191387139708,-2.273916586059813,2.25,1.2528838940253944,-1.7563715488667744,-2.6078023198440934,0.0,0.07914915396865663,-0.07457355493881979,-0.5636606618600242,-0.04370900183975901,0.08003221289083795,0.16619413815081474
2019-04-01,5.066532681396784,-2.7174665774398346,-2.583385321215541,2.25,1.2372880015279473,-1.764586507637175,-2.443953219512298,0.0,0.02552420165784497,-0.03127519030012671,-0.30946873515572815,-0.015595892497447084,-0.008214958770400571,0.16384910033179523
2019-05-01,5.036913128898883,-2.692406592303262,-2.638299004366468,2.25,1.1958708317689697,-1.7154127190551858,-2.5392778376010265,0.0,-0.029619552497901047,0.025059985136572482,-0.05491368315092693,-0.04141716975897758,0.049173788581989175,-0.09532461808872839
2019-06-01,4.975366721046635,-2.6317188943238987,-2.826013535524616,2.25,1.0886616979205457,-1.601341240195628,-2.674328350880792,0.0,-0.06154640785224785,0.06068769797936335,-0.18771453115814785,-0.10720913384842401,0.11407147885955782,-0.13505051327976547
2019-07-01,4.852061662106631,-2.514393531828247,-2.670659614734822,2.25,0.8042604437536963,-1.3219899287645442,-2.567643536737877,0.0,-0.12330505894000421,0.11732536249565184,0.15535392078979404,-0.28440125416684936,0.2793513114310837,0.10668481414291486
2019-08-01,4.813029098159937,-2.4720008131632207,-2.6128671387687668,2.25,0.750556743816665,-1.336304733861359,-2.518130855677346,0.0,-0.03903256394669352,0.04239271866502614,0.05779247596605508,-0.05370369993703128,-0.014314805096814709,0.04951268106053108
2019-09-01,4.7585229834984935,-2.4519724776412515,-2.462325340159901,2.25,0.292756779444184,-0.9993603007747368,-2.1338972135742007,0.0,-0.05450611466144384,0.020028335521969254,0.15054179860886574,-0.45779996437248105,0.33694443308662214,0.38423364210314537
2019-10-01,4.6855265680669245,-2.409874933883253,-2.2885718619180744,2.25,0.3509785899393786,-1.020095837429624,-2.037463353927106,0.0,-0.07299641543156898,0.04209754375799868,0.17375347824182663,0.05822181049519459,-0.020735536654887254,0.09643385964709461
2019-11-01,4.630780882990582,-2.3308728728775265,-2.5064456325315687,2.25,0.4675987860072439,-1.0834411617023838,-1.932791177181456,0.0,-0.05474568507634281,0.07900206100572627,-0.21787377061349433,0.11662019606786533,-0.06334532427275974,0.10467217674564999
2019-12-01,4.494946888849646,-2.1544555406528025,-2.6145106792689643,2.25,0.5888375205841119,-1.1784015507946264,-1.8124148582923305,0.0,-0.13583399414093567,0.176417332224724,-0.10806504673739559,0.12123873457686796,-0.09496038909224258,0.12037631888912559
2020-01-01,4.470181589606775,-2.1082135579780976,-2.83167214374766,2.25,0.6218150919035809,-1.2614286394358012,-1.6655152926915513,0.0,-0.024765299242870853,0.04624198267470492,-0.2171614644786959,0.03297757131946899,-0.0830270886411748,0.14689956560077921
2020-02-01,4.474673946670957,-2.0773539685903404,-3.0467347070580955,2.25,0.6804946078433535,-1.2514481482174475,-1.807677536968588,0.0,0.004492357064181718,0.030859589387757236,-0.21506256331043527,0.05867951593977261,0.009980491218353649,-0.14216224427703672
2020-03-01,4.232338139334456,-1.821619351487392,-2.5658717694137025,2.25,0.4967913782336646,-1.077124749989907,-1.8564089262713528,0.0,-0.2423358073365005,0.2557346171029484,0.4808629376443929,-0.18370322960968888,0.1743233982275405,-0.04873138930276477
2020-04-01,4.157214773544904,-1.736383961361465,-2.348290929031525,2.0,0.1230317724873257,-0.8154950852502723,-1.4746601185631696,-0.25,-0.07512336578955203,0.08523539012592707,0.2175808403821775,-0.3737596057463389,0.2616296647396348,0.3817488077081832
2020-05-01,4.09350981643831,-1.7422389650252796,-2.0384692783177747,2.0,0.2833749337196051,-0.8300033616573235,-1.5981373976488968,0.0,-0.0637049571065944,-0.005855003663814751,0.30982165071375034,0.16034316123227937,-0.014508276407051213,-0.12347727908572725
2020-06-01,4.000906217253074,-1.8382830205805265,-1.453017697157313,2.0,0.2859436182093595,-0.781191289370667,-1.903829917276163,0.0,-0.09260359918523609,-0.09604405555524687,0.5854515811604617,0.0025686844897543915,0.048812072286656516,-0.3056925196272662
2020-07-01,3.95831347831353,-2.051325799460767,-1.3750235631039271,1.5,0.4365691860507559,-0.9530778242388828,-1.877414116871932,-0.5,-0.04259273893954374,-0.2130427788802407,0.07799413405338584,0.1506255678413964,-0.1718865348682158,0.02641580040423097
2020-08-01,3.854873625281733,-2.262841978577996,-1.6848766839538052,1.5,0.324283533962232,-0.8611570970255045,-1.8260387112025684,0.0,-0.10343985303179704,-0.21151617911722864,-0.30985312084987804,-0.11228565208852392,0.0919207272133783,0.051375405669363605
2020-09-01,3.8390722780644735,-2.2034493812566707,-1.6803894157837185,1.5,0.334654347271078,-0.8711331915114386,-1.8559684321995376,0.0,-0.015801347217259565,0.05939259732132518,0.004487268170086711,0.010370813308846039,-0.009976094485934173,-0.02992972099696911
2020-10-01,3.735118612630358,-2.145321216557293,-1.319971452734814,1.5,0.3025955742483845,-0.8455912399115326,-1.8772336449676224,0.0,-0.10395366543411555,0.05812816469937765,0.3604179630489044,-0.0320587730226935,0.02554195159990602,-0.021265212768084796
