Date,beta0_t+1,beta1_t+1,beta2_t+1
2021-12-01,3.685676199602984,-2.1573965575156087,-1.4514700507680487
2022-01-01,3.663937850923392,-2.0969988321079867,-1.4185598796169716
2022-02-01,3.603600813226053,-2.048631375911651,-1.057619614080468
2022-03-01,3.577229593769004,-2.027009108552784,-0.9230841131825974
2022-04-01,3.5887308643597216,-2.0095577642094136,-0.889917017050482
2022-05-01,3.5926731123139994,-1.96627118739732,-0.8115583581227811
2022-06-01,3.556515535413133,-1.870190111972988,-0.6964588779132331
2022-07-01,3.6021641612429063,-1.8763076082198744,-0.7140769219889544
2022-08-01,3.758255041626806,-1.8494065437247136,-1.4576846456063253
2022-09-01,3.6203541142571214,-1.5404909332620167,-0.8723998609707497
2022-10-01,3.9295618531032126,-1.6436012361642427,-1.3267454213722234
2022-11-01,4.039362934036647,-1.4675865537929875,-1.0365627331798015
2022-12-01,4.003964252139154,-1.0878026740692617,-1.3551786457309596
2023-01-01,5.292185192361355,-1.997089303324075,-1.152431489322093
2023-02-01,5.300671849839461,-2.069004029654852,-0.2990278608234291
2023-03-01,5.810337456619253,-2.614465734609696,-0.5487278930611181
2023-04-01,6.02731865034275,-2.832847689786677,-0.3397316805419633
2023-05-01,6.095991611371574,-2.988833255603612,-0.390342299453245
2023-06-01,6.066323406254281,-2.9679552291835063,-0.9032545007407649
2023-07-01,6.034269400351846,-2.9434127538304344,-1.7185435722914142
2023-08-01,5.944832411032854,-2.86163349474288,-1.6830043154462448
2023-09-01,5.904245540450487,-2.809522620736613,-1.5683914804614882
2023-10-01,5.902563079718618,-2.898042163823977,-1.504051286791016
2023-11-01,5.950079987062414,-2.9657256294061347,-1.701724114908011
2023-12-01,5.835007139865817,-2.812450492247226,-2.1592124296702857
2024-01-01,5.599609831471721,-2.534006139411724,-2.609792750474901
2024-02-01,5.307185664125519,-2.1588941347102284,-2.109498131548042
2024-03-01,5.258673504234904,-2.171082467242712,-2.0611555752715014
2024-04-01,5.248768746954804,-2.1396969659505976,-2.037579336770692
2024-05-01,5.18563791970964,-2.113078008684704,-1.854953989949708
2024-06-01,5.178733662731468,-2.0846426595532885,-1.943649296029154
2024-07-01,5.073673728905342,-2.3320477773330417,-1.840592516872862
2024-08-01,5.086588054857496,-2.392562520070664,-1.99198511800534
2024-09-01,5.06899747721994,-2.350625573474699,-2.5440700829758693
2024-10-01,5.003697265889903,-2.22853131851139,-2.6269548464332653
2024-11-01,4.852767344602002,-2.1449497776103224,-2.3495855336152114
2024-12-01,4.845679339471663,-2.191855459283761,-2.202978302560868
2025-01-01,4.754998028760265,-2.2254063472332644,-2.1951849572285296
2025-02-01,4.712874138323205,-2.149497748833383,-2.1348552051874408
2025-03-01,4.675595477701942,-2.2003127841786903,-2.173254444756404
2025-04-01,4.477053567928874,-2.2040254714735883,-2.041236541806363
2025-05-01,4.528391870154675,-2.334050641020118,-2.5185811786006105
2025-06-01,4.322034992050072,-2.173660064733891,-2.0763498691036366
2025-07-01,4.429267050662455,-2.2408373023997634,-2.417904106964412
2025-08-01,4.389163017703845,-2.187349176217729,-2.407969803001264
2025-09-01,4.3172226025039935,-2.158601430818765,-2.1451702666995085
2025-10-01,4.284621777506911,-2.054621235501856,-1.8373631223172688
2025-11-01,4.29141007695615,-2.055888612168148,-1.5899928026734833
