Date,beta0_ecb,beta1_ecb,beta2_ecb
2017-09-14,1.7214041623388459,-2.29405546335295,-4.147257474959557
2017-09-15,1.729757542293638,-2.2728076712941383,-4.125387159243479
2017-09-18,1.7647017880969995,-2.3447184375307932,-4.086627054716533
2017-09-19,1.7371529748942134,-2.3082474553081513,-4.064755446775853
2017-09-20,1.7201888433523889,-2.3009616691059556,-4.032867141432186
2017-09-21,1.7305117840407886,-2.3288850918813795,-3.975937986920619
2017-09-25,1.691777833479723,-2.2760380537384846,-3.9436167676041762
2017-09-26,1.699557266511219,-2.3055664042167643,-4.010799110726968
2017-09-27,1.777462375250874,-2.3791495556167677,-4.053897030704664
2017-09-28,1.7964995452072023,-2.403260858238866,-4.076755818348492
2017-09-29,1.7680413173400986,-2.358878286737035,-4.04456638181231
2017-10-02,1.73618629681594,-2.3284096072148532,-4.036950372962373
2017-10-03,1.7736500454844453,-2.364429227042903,-4.088220291945978
2017-10-04,1.7393684660556807,-2.3183353390817905,-4.088306516679471
2017-10-05,1.7395756080183147,-2.309698425102887,-4.046862807033462
2017-10-06,1.8005386838930715,-2.3670346527512294,-4.035592299651162
2017-10-09,1.7422259241511153,-2.297145949912656,-4.07360737786814
2017-10-10,1.7399092635700297,-2.3384606504129923,-3.9884559375778292
2017-10-11,1.749009529703429,-2.339507269546255,-3.9980328813882564
2017-10-12,1.7530397557116961,-2.3561145648326187,-4.040905780395097
2017-10-13,1.7181304044777934,-2.320038234264998,-4.077221872821856
2017-10-16,1.6955471219082519,-2.3007003980454988,-4.105085382207041
2017-10-17,1.662976373229538,-2.2720370406076063,-4.040233066439554
2017-10-18,1.6778370954805222,-2.284475047797752,-4.005371870519861
2017-10-19,1.685259183127918,-2.3046988174608485,-4.011010295147819
2017-10-20,1.7663505445481544,-2.3732638539046924,-4.060665221990979
2017-10-23,1.7449618162537164,-2.3539966135272428,-4.080815892595678
2017-10-24,1.787068385542782,-2.37959363054508,-4.071034505135307
2017-10-25,1.8074712643921533,-2.407915726301116,-4.051483094139007
2017-10-26,1.7770317023002071,-2.381003049559511,-4.121124990582445
2017-10-27,1.7806794582605414,-2.3861986040058483,-4.251954001360834
2017-10-30,1.7300992338358068,-2.3389446218359984,-4.211755521304673
2017-10-31,1.705123891572211,-2.3059565394366954,-4.134530128970012
2017-11-01,1.7081703707030553,-2.290737779626429,-4.186649233487452
2017-11-02,1.7189614592941287,-2.313195494856167,-4.164158091208801
2017-11-03,1.6774091148864918,-2.285244336996417,-4.113424999233488
2017-11-07,1.672625583503622,-2.259755258619103,-4.182810148407466
2017-11-08,1.6366401732689082,-2.2175285865210976,-4.164703174192308
2017-11-09,1.706599037149585,-2.2996353080455014,-4.159909747005109
2017-11-10,1.7456423347393184,-2.33990143458381,-4.206925340788225
2017-11-13,1.7648491037239993,-2.3516198375466253,-4.216990379757571
2017-11-14,1.766667695344026,-2.356277509207585,-4.1991384470092505
2017-11-15,1.6950553087455815,-2.282515086483654,-4.170651803908675
2017-11-16,1.7108118520602564,-2.2878780578778137,-4.163389551274869
2017-11-17,1.7049764595840124,-2.2851622673937237,-4.147253692309906
2017-11-20,1.679784493695028,-2.259449377127865,-4.106706202777754
2017-11-21,1.6395760735641143,-2.242095979726066,-3.993440252345528
2017-11-22,1.6204706427166577,-2.238972334686787,-3.8462891717535292
2017-11-23,1.5922091442176474,-2.2275912795185095,-3.7543857635909474
2017-11-24,1.6138239478338272,-2.236573718215523,-3.8023724528377625
2017-11-27,1.6062311569370793,-2.218901205566595,-3.835274740517008
2017-11-28,1.6033628385437693,-2.223358092329286,-3.833591617701232
2017-11-29,1.6456784950625891,-2.281329180346118,-3.7687536310437517
2017-11-30,1.604448867112609,-2.2338263436853247,-3.7126786887171557
