Date,beta0,beta1,beta2
2009-04-01,4.781825026657322,-1.2882545966621393,-1.367249472461616
2009-04-02,4.746228422006351,-1.2839840762216246,-1.4543787283722722
2009-04-03,4.753352637934968,-1.2887585532560932,-1.324006191144371
2009-04-06,4.755685032290541,-1.2941085790847382,-1.2701314726191189
2009-04-07,4.761819237853455,-1.2957747017672436,-1.5044782831363388
2009-04-08,4.739676905285382,-1.2865907429770111,-1.5559899745453034
2009-04-09,4.749102574124807,-1.3022301638568319,-1.585406035560308
2009-04-14,4.754470886887331,-1.318588149976011,-1.8224411562887806
2009-04-15,4.7649195365613375,-1.3314747267718425,-1.937984268676691
2009-04-16,4.776043273206334,-1.3457435379222429,-2.0233194836830513
2009-04-17,4.787179866882466,-1.3574371485257657,-2.0759741309466215
2009-04-20,4.797066925832421,-1.368584181460461,-2.115532729287347
2009-04-21,4.803931197338445,-1.377396040712473,-2.164615559829009
2009-04-22,4.8100621510105235,-1.3867270336449977,-2.2206241186427875
2009-04-23,4.816345067519857,-1.3948380163199823,-2.2528256041796006
2009-04-24,4.821777443731784,-1.400898021683289,-2.262484819307002
2009-04-27,4.826300169541071,-1.4063593372495888,-2.2729991585336857
2009-04-28,4.83108868069616,-1.412697403476272,-2.301904739320572
2009-04-29,4.809400155132839,-1.4078282890385265,-2.314129540277308
2009-04-30,4.818874793671452,-1.4129798833486866,-2.2336827287533336
2009-05-04,4.800239576842859,-1.4084911475793542,-2.2482872719001037
2009-05-05,4.786866762198029,-1.4031872944945085,-2.236748576820195
2009-05-06,4.763175571648685,-1.3934946444245573,-2.2100217065303105
2009-05-07,4.744875029694683,-1.3863285420025109,-2.1764374653830942
2009-05-08,4.730283603011129,-1.3788638156884565,-2.12909148658331
2009-05-11,4.717843642490176,-1.371996112972682,-2.0703121542041614
2009-05-12,4.70707514108934,-1.3659200702301406,-2.018345282269916
2009-05-13,4.702806742086933,-1.3629289657999357,-1.95617789412401
2009-05-14,4.698607475806739,-1.361779610336604,-1.9461662997184257
2009-05-15,4.694830190710741,-1.3627800867595457,-1.9399367244549082
2009-05-18,4.6920683689295375,-1.3635020896503556,-1.934467632074239
2009-05-19,4.69026518357531,-1.3640170783501675,-1.915087583715391
2009-05-20,4.6886240195456494,-1.364773868075078,-1.9056828488287696
2009-05-21,4.686948479608388,-1.3664206099854124,-1.89855874908662
2009-05-22,4.685905846340134,-1.3668331928509048,-1.8907717968582551
2009-05-25,4.6849354500662255,-1.3671371089317368,-1.8924112120548526
2009-05-26,4.684285023216645,-1.3673453046473394,-1.8914136191146895
2009-05-27,4.684229945139342,-1.3666148141929793,-1.8809353732858107
2009-05-28,4.683661435986795,-1.3666522958023366,-1.8725079343137918
2009-05-29,4.683047939451823,-1.3667142000122,-1.8674459615607755
2009-06-01,4.682483575161946,-1.3667729457407805,-1.8639277398147636
2009-06-02,4.682665500860277,-1.3671351251811323,-1.8533253539249503
2009-06-03,4.682564361358607,-1.367528944936409,-1.8482914052018014
2009-06-04,4.684148177624573,-1.366565864882649,-1.8273801767940032
2009-06-05,4.684222464782178,-1.364955685715453,-1.8000897183376798
2009-06-08,4.711290327085507,-1.375482410031973,-1.7510402315871958
2009-06-09,4.701349139027158,-1.3739051143228302,-1.8133653826295315
2009-06-10,4.695516200816469,-1.3703486184432858,-1.820610398454023
2009-06-11,4.690677177352905,-1.3693197503010517,-1.8459557978047938
2009-06-12,4.687083653727309,-1.364571005054258,-1.825343729983529
2009-06-15,4.683476603177226,-1.3617227381444028,-1.7797333748842965
2009-06-16,4.680116039208395,-1.36035518344384,-1.7564250685562561
2009-06-17,4.677389719728764,-1.3592937640698475,-1.7398151348613948
2009-06-18,4.675231911058124,-1.3594262855579387,-1.737344667558975
2009-06-19,4.6771421605756105,-1.3608087110695666,-1.721865576673256
2009-06-22,4.678197798344911,-1.362166712985369,-1.716752335434693
2009-06-23,4.678952589596806,-1.3631200805234915,-1.7141993256297716
2009-06-24,4.679441032001853,-1.3639561757457785,-1.712508829195788
2009-06-25,4.679626953521724,-1.3652883234864241,-1.7123291839399726
2009-06-26,4.679815031898959,-1.3664153434686783,-1.7113099438589592
2009-06-29,4.679990139644462,-1.3674112821251798,-1.7105201456247747
2009-06-30,4.682489314863186,-1.3623650069857143,-1.7167231062787154
2009-07-01,4.683131768773845,-1.3656263775617121,-1.8226942247843176
2009-07-02,4.684604480044663,-1.367688727110191,-1.7805125676580318
2009-07-03,4.684786793352831,-1.3698910877575556,-1.7617986475888
