month,cutoff,rmse_beta0,rmse_beta1,rmse_beta2,mae_beta0,mae_beta1,mae_beta2
2023-07,2023-06-27,0.08929104689000882,0.046178433143507606,0.3303304350564863,0.08527202837849704,0.04004795857826721,0.2992028750962618
2023-08,2023-07-31,0.019881627472390685,0.08830041340913249,0.36495861158553816,0.015349209341031234,0.07935199461890231,0.33254832254995303
2023-09,2023-08-31,0.038736553186308705,0.10698564331446592,0.31759038177774634,0.03268681175367054,0.10006000843470449,0.2938030874006858
2023-10,2023-09-27,0.05612048256765141,0.20461042315285452,0.3740991042597983,0.052425942074897876,0.19657780589546248,0.365399821881609
2023-11,2023-10-31,0.05404675299629446,0.12494878694885167,0.6126361198811099,0.049734390947017974,0.11988794514467874,0.5597586288762791
2023-12,2023-11-30,0.17528306817002315,0.1302249631711428,0.5528909124093467,0.13667057678519068,0.10434410099206462,0.5014392139649525
2024-01,2023-12-29,0.30097238911483215,0.39723921259288775,0.3397946861645631,0.27928605974408965,0.3679938304841414,0.2611403686621451
2024-02,2024-01-31,0.12021526435287894,0.2651583572702479,0.14842319994136788,0.11802900850092547,0.2635513029982521,0.1381658363288773
2024-03,2024-02-29,0.030894309310084758,0.15709175450767893,0.1532752383069177,0.029566958397444984,0.14720656300173315,0.13183504835301857
2024-04,2024-03-28,0.014679034503323519,0.1689656960302275,0.15951967658532068,0.012171589031396923,0.16032426405162264,0.1469188766844465
2024-05,2024-04-30,0.020900853944822353,0.13773218567333942,0.12291013381819361,0.018790459155828634,0.12275057370272592,0.11478818371432084
2024-06,2024-05-31,0.06700461212054883,0.16743893971374058,0.22495536453698536,0.04863164568984441,0.14348748085215196,0.20612235250086844
2024-07,2024-06-28,0.02715399895247029,0.08024150447595853,0.45375258391902457,0.01642581970922098,0.0751639966098233,0.3873481976957622
2024-08,2024-07-31,0.06447509898468577,0.12903551813441672,0.4151335565142433,0.05489248158682698,0.11402112673566411,0.3490495081809312
2024-09,2024-08-30,0.14563244827481842,0.2721534149204101,0.5183582349915671,0.13753171342899986,0.25260800949228696,0.4512001130642637
2024-10,2024-09-30,0.06146451710804452,0.26414881933467704,0.5700305703717338,0.0578725902757175,0.25613389139887077,0.531847336140175
2024-11,2024-10-31,0.18158304996628089,0.2073085082335292,0.4020345748160872,0.09000401879419183,0.200981294525411,0.3684024803509267
2024-12,2024-11-29,0.19224662534392106,0.16513330718746297,0.5391650000566149,0.09296196888257148,0.14514839594855913,0.5208909450269994
2025-01,2024-12-30,0.10307324567244215,0.17716179694188788,0.33683011693001463,0.09893694495521889,0.1642315514598235,0.31599617486717313
2025-02,2025-01-31,0.042737779372619376,0.21336669657807203,0.2959962045845579,0.041189505637698964,0.2071071697708398,0.2795993875193749
2025-03,2025-02-28,0.13223500666755,0.16380161342883087,0.39201220208515297,0.09166712416662198,0.14752622014733927,0.35848175447428404
2025-04,2025-03-31,0.10591197282841389,0.1559444537267684,0.43737827645149285,0.10161391410214794,0.15055217019550904,0.3941197143334085
2025-05,2025-04-30,0.11284426859659,0.17461588222292124,0.6561963735495894,0.08856263957014911,0.16437031377303385,0.6143152798336243
2025-06,2025-05-30,0.05928229699209852,0.19256532718499064,0.346832383794842,0.05102642909370596,0.17785143460759495,0.26377354729299385
2025-07,2025-06-30,0.05457454436048014,0.19762239038883367,0.6358862766554666,0.04802166163844328,0.18941474935211808,0.631252780441435
2025-08,2025-07-31,0.05480519214058864,0.2271136154540287,0.49443020221715167,0.0471118509423586,0.21472577990726655,0.4721511053945085
2025-09,2025-08-29,0.06967353249947646,0.18493451446449446,0.35291268526953784,0.05562894433124826,0.1804797824498425,0.34884697146984167
2025-10,2025-09-30,0.0297145970446982,0.17165413405505667,0.19663574925371577,0.023645351194226748,0.16969044888927368,0.17385585197989398
2025-11,2025-10-31,0.04659692372034154,0.1255693827466954,0.2673384355161038,0.032750522063261164,0.12150138293133833,0.22576045547161733
2025-12,2025-11-28,0.030710711911858566,0.1415130725738707,0.2980816186157035,0.02351273003764591,0.13663394341643062,0.25980842105836877
