Date,beta0,beta1,beta2
2008-05-22,4.934091495390776,-1.6886668780747573,-1.9027087251417498
2008-05-23,4.933627451434335,-1.6858860007356236,-1.8574779101200152
2008-05-26,4.931703528068473,-1.6828976207055932,-1.8338696367881855
2008-05-27,4.92941533149795,-1.6802611771163443,-1.82207802930516
2008-05-28,4.927023802074971,-1.6797029862176642,-1.8164670367677678
2008-05-29,4.924740615277355,-1.6771531542332079,-1.7958930108356048
2008-05-30,4.92195299817732,-1.6737281785113647,-1.7779132683624408
2008-06-02,4.919737703230262,-1.6707703373443674,-1.786893548337618
2008-06-03,4.918605281525998,-1.6690899198101234,-1.793060901293385
2008-06-04,4.9168252909709125,-1.6672896030162885,-1.7407336197259142
2008-06-05,4.913970061361205,-1.6676002515519976,-1.7149295949261738
2008-06-06,4.909817795292921,-1.663773005511228,-1.6846424054284688
2008-06-09,4.903980362235603,-1.6558453573426537,-1.6510199156465342
2008-06-10,4.898096038479248,-1.6462234853918818,-1.6007762958409195
2008-06-11,4.893397011363726,-1.6396898458892017,-1.5994166628697473
2008-06-12,4.890507876680633,-1.636524101578291,-1.6043541528487903
2008-06-13,4.887714344392803,-1.6326033790081649,-1.592214604484156
2008-06-16,4.884725382632191,-1.6272715026748645,-1.5806048665349464
2008-06-17,4.8803062584677726,-1.6191420714610063,-1.5623389289201461
2008-06-18,4.877021987241148,-1.6141471016524085,-1.5599630547437011
2008-06-19,4.873496700582732,-1.60773368830514,-1.549473721366928
2008-06-20,4.869357273010874,-1.5996852450327816,-1.5334008368200367
2008-06-23,4.866877773443895,-1.595866372385445,-1.53603214712129
2008-06-24,4.866724678985789,-1.5943697239338823,-1.4876945924957548
2008-06-25,4.86660732215399,-1.5959493003782763,-1.4836830502097158
2008-06-26,4.873154760733307,-1.5992738841117442,-1.4728766106581914
2008-06-27,4.877634370756876,-1.6044054276620217,-1.5001950426141475
2008-06-30,4.878246698977658,-1.6098218982580135,-1.5324380955422614
2008-07-01,4.878427166771595,-1.610688582556994,-1.5329777666053388
2008-07-02,4.879402388127709,-1.6119874691900067,-1.5395041079699787
2008-07-03,4.879333615690245,-1.610616795573462,-1.5340253706376985
2008-07-04,4.8804639553180325,-1.612885416954673,-1.544060895491702
2008-07-07,4.8821076250935755,-1.617129239283015,-1.5579990760727234
2008-07-08,4.884054532971409,-1.6212784195538,-1.5677731176475096
2008-07-09,4.8859680066657925,-1.6249927453354827,-1.5739339774665089
2008-07-10,4.8872830539740075,-1.6272154642443672,-1.5748935821454342
2008-07-11,4.8885584886401015,-1.629629392591131,-1.5781695514017264
2008-07-14,4.901528803418695,-1.6380874406138848,-1.5156168749100456
2008-07-15,4.910110903874293,-1.6468771999901461,-1.5033949158436801
2008-07-16,4.91721454918876,-1.656644788027747,-1.5130575330578866
2008-07-17,4.909832914904937,-1.6546883222930364,-1.5371964747906999
2008-07-18,4.902946367798766,-1.65076256609687,-1.4548233388822027
2008-07-21,4.894972392061233,-1.6456443824610523,-1.3978343003781393
2008-07-22,4.886177242123801,-1.637887474939167,-1.3476488111238751
2008-07-23,4.8794749648034035,-1.6288467256686736,-1.3107898315910038
2008-07-24,4.872811625671045,-1.619930818469273,-1.2826305433370253
2008-07-25,4.8679838721344835,-1.6149990660206435,-1.2739440882151982
2008-07-28,4.864615302002006,-1.6120698621181024,-1.2700006622530333
2008-07-29,4.862592727472264,-1.6110783004639815,-1.270241847684815
2008-07-31,4.861334295879487,-1.6107769877501756,-1.2700140707196097
2008-08-01,4.861512375166641,-1.6124507371533523,-1.2907171339761083
2008-08-04,4.862570129633838,-1.6146107605687385,-1.3035789783001337
2008-08-05,4.863886424561597,-1.6167436856314057,-1.3117002908481805
2008-08-06,4.865439375981105,-1.6193023840767216,-1.3194561856098983
2008-08-07,4.867106775451663,-1.6220562497382056,-1.326106460377419
2008-08-08,4.87041784759689,-1.6288869836776811,-1.3461343842979145
