,rate_unit,3M_x,6M_x,1Y_x,2Y_x,3Y_x,4Y_x,5Y_x,6Y_x,7Y_x,8Y_x,9Y_x,10Y_x,11Y_x,12Y_x,13Y_x,14Y_x,15Y_x,16Y_x,17Y_x,18Y_x,19Y_x,20Y_x,30Y_x
2026-07-03,decimal,0.022487171519686714,0.022909115741795518,0.023723787321372782,0.025243127547097635,0.026627925447057273,0.027891405982806754,0.029045422331338926,0.03010060280214153,0.03106648168889494,0.03195161583797671,0.03276368851617666,0.03350960198282948,0.034195560014376694,0.034827141489904574,0.03540936602245644,0.03594675251110498,0.036443371391312214,0.03690289127460178,0.037328620591781776,0.03772354478578503,0.038090359539665275,0.038431500471538295,0.04082640348810201
2026-07-06,decimal,0.022515571786042243,0.02293729511820439,0.02375155169051793,0.02527016060466107,0.026654344210856874,0.02791731189432775,0.02907090321476417,0.030125734583102942,0.03109132990202625,0.031976236948855916,0.032788131080172235,0.03353390766065716,0.034219764461790446,0.034851275136846854,0.03543345475514605,0.03597081826891477,0.036467432688857604,0.036926963658202215,0.03735271703834819,0.03774767605121153,0.038114534462944896,0.038455726240067996,0.040851302341408186
2026-07-07,decimal,0.02254378168074212,0.02296528514100748,0.023779128618531244,0.025297009590292522,0.026680581731653934,0.027943038923471174,0.029096207171044008,0.03015069104172651,0.031116004095203646,0.0320006850816333,0.03281240148392271,0.033558041803944644,0.0342437978359494,0.034875238031532405,0.0354573729372702,0.035994713576766264,0.0364913235517785,0.036950865550940425,0.03737664287810228,0.03777163654441298,0.03813853840796925,0.038479780791314346,0.040876026835895786
2026-07-08,decimal,0.02257180248158805,0.02299308708331151,0.02380651936970054,0.025323675752747046,0.02670663924516601,0.027968588295079772,0.02912133541601837,0.030175473386467328,0.031140505470893573,0.032024961433989266,0.03283650092135628,0.03358200560375459,0.03426766132580932,0.03489903136145721,0.035481121755415276,0.03601843962080237,0.03651504516616732,0.03697459813918811,0.03740039929797,0.03779542745309733,0.038162372563415085,0.03850366531507459,0.040900578176002525
2026-07-09,decimal,0.022599635457799094,0.023020702209662243,0.023833725199793366,0.025350160332331065,0.026732517978722153,0.02799396122565793,0.02914628915723031,0.030200082817517605,0.031164835223327136,0.0320490671953909,0.03286043057820505,0.03360580024296677,0.03429135611215273,0.034922656305950636,0.03550470238800521,0.03604199757900545,0.0365385987099561,0.036998162601155196,0.03742398747671293,0.037819049956804456,0.03818603810978655,0.03852738099296814,0.04092495755792012
2026-07-10,decimal,0.022627281870069346,0.023048131776102026,0.023860747356114344,0.025376464560959416,0.02675821915131966,0.028019158923428187,0.029171069593982312,0.030224520526862857,0.031188994538556194,0.03207300354714794,0.03288419163206095,0.03362942689633383,0.03431488336764457,0.034946114036231164,0.0355281160053571,0.036065388621253025,0.03656198535297218,0.03702156010694561,0.03744740858498403,0.03784250522696189,0.038209536219470965,0.038550928998492336,0.04094916616965042
2026-07-13,decimal,0.0226547429706252,0.023075377030226968,0.02388758707756219,0.025402589662211997,0.02678374397368048,0.02804418258838738,0.029195677917392283,0.030248787698337717,0.031212984594509028,0.03209677166246837,0.03290778525243122,0.033652886730536756,0.03433824425688775,0.034969405715461754,0.035551363769736666,0.03608861390937316,0.0365852062569936,0.03704479181861255,0.03747066378538293,0.037865794426940276,0.03823286805679418,0.03857431049707789,0.040973205191061124
2026-07-14,decimal,0.02268202000328223,0.023102439211243733,0.023914245594686287,0.025428536851390054,0.02680909364830719,0.028069033412362436,0.029220115310449126,0.03027288550768134,0.03123680656104564,0.03212037270651359,0.03293121260079353,0.033676180904239926,0.034361439936478035,0.034992532498804865,0.03557444683541312,0.03611167459719937,0.03660826257580402,0.03706785889021356,0.03749375423251096,0.03788891871210827,0.03825603477807565,0.03859752664614394,0.04099707579394115
2026-07-15,decimal,0.022709114203501725,0.023129319550025958,0.023940724129742942,0.025454307335572086,0.026834269369538637,0.02809371257906577,0.029244382948067946,0.030296815122592507,0.0312604616000127,0.032143807836453285,0.03295447483065075,0.03369931056814583,0.034384471555058777,0.03501549553347701,0.035597366348713855,0.03613457183062527,0.03663115545524732,0.037090762467865024,0.037516681073025776,0.03791187922988723,0.03827903753168304,0.03862057859515271,0.041020779142055604
2026-07-16,decimal,0.02273602679844682,0.023156019269170294,0.02396702389675122,0.025479902313669374,0.026859272323605212,0.028118221264150305,0.02926848199714491,0.030320577702784273,0.0312839508652981,0.03216707820151987,0.032977573087585324,0.03372227686504937,0.03440734025337517,0.03503829595880312,0.03562012344807859,0.03615730674765874,0.03665388603328183,0.037113503689796455,0.03753944544569555,0.037934677119805485,0.03830187745808655,0.03864346748566378,0.04104431639120043
2026-07-17,decimal,0.022762759007038235,0.023182539583052046,0.023993146101548436,0.025505322976481115,0.026884103688683696,0.02814256063526414,0.029292413616611702,0.030344174400038296,0.031307275502885146,0.032190184943062576,0.033000508509313284,0.033745080929891834,0.03443004716432816,0.035060934906270276,0.03564271926411332,0.036179880478475854,0.036676455440034214,0.03713608368640435,0.03756204848145289,0.03795731351355218,0.038324555689912804,0.03866619445138812,0.04106768868925664
2026-07-20,decimal,0.022789312040009658,0.02320888169788047,0.024019091941845237,0.02553057050674923,0.026908764634951798,0.028166731852104814,0.029316178957489624,0.03036760635825878,0.03133043665090637,0.032213129194601176,0.033023282225737895,0.03376772388981445,0.034452593413028004,0.03508341349958137,0.03566515491964377,0.03620229414547429,0.036698864797852886,0.037158503580305695,0.03758449130344833,0.03797978953503083,0.038347073351998384,0.03868876061824156,0.041090897176244166
