,beta0,beta1,beta2,lambda
2023-08-01,5.018903164248556,-2.376651556346087,-0.9133127269095581,4.197041420124571
2023-09-01,5.018614316671087,-2.3729696994246754,-0.9124656056464672,4.197041420122555
2023-10-01,5.0183352117937865,-2.369350388615193,-0.9116731014845234,4.1970414201211925
2023-11-01,5.018065520999716,-2.365792561405924,-0.9109316930533307,4.1970414201202715
2023-12-01,5.017804926756041,-2.3622951733347324,-0.9102380860185165,4.197041420119649
2024-01-01,5.017553122240165,-2.358857197682445,-0.909589198443864,4.197041420119228
2024-02-01,5.017309810978485,-2.355477625171439,-0.9089821470972015,4.197041420118944
2024-03-01,5.0170747064973185,-2.3521554636693502,-0.9084142346392043,4.197041420118751
2024-04-01,5.016847531985613,-2.3488897378978155,-0.907882937638182,4.19704142011862
2024-05-01,5.01662801996903,-2.345679489146164,-0.9073858953575973,4.197041420118532
2024-06-01,5.01641591199502,-2.3425237749899703,-0.9069208992664968,4.197041420118473
2024-07-01,5.016210958328526,-2.3394216690143885,-0.9064858832262428,4.197041420118433
2024-08-01,5.01601291765794,-2.3363722605421877,-0.9060789143099442,4.197041420118405
2024-09-01,5.015821556810987,-2.3333746543664073,-0.905698184213793,4.197041420118388
2024-10-01,5.015636650480193,-2.330427970487553,-0.905342001222144,4.197041420118375
2024-11-01,5.0154579809576,-2.3275313438552563,-0.9050087826906372,4.197041420118367
2024-12-01,5.015285337878445,-2.324683924114327,-0.9046970480139601,4.197041420118361
2025-01-01,5.015118517973474,-2.3218848753551136,-0.9044054120470061,4.1970414201183575
2025-02-01,5.0149573248296155,-2.3191333758681085,-0.904132578950195,4.197041420118355
2025-03-01,5.014801568658722,-2.3164286179027216,-0.9038773364316094,4.197041420118353
2025-04-01,5.0146510660741175,-2.3137698074301505,-0.9036385503603613,4.197041420118352
2025-05-01,5.014505639874675,-2.311156163910279,-0.9034151597272567,4.197041420118351
2025-06-01,5.014365118836183,-2.308586920062537,-0.9032061719303637,4.19704142011835
2025-07-01,5.0142293375097475,-2.3060613216406503,-0.9030106583645385,4.19704142011835
2025-08-01,5.014098136026991,-2.30357862721122,-0.9028277502953117,4.19704142011835
2025-09-01,5.013971359911826,-2.3011381079360627,-0.9026566349987998,4.19704142011835
2025-10-01,5.013848859898574,-2.298739047358244,-0.9024965521504917,4.19704142011835
2025-11-01,5.013730491756221,-2.296380741191753,-0.9023467904468637,4.19704142011835
2025-12-01,5.013616116118603,-2.294062497114746,-0.9022066844448117,4.19704142011835
2026-01-01,5.013505598320311,-2.291783634566303,-0.9020756116048567,4.19704142011835
2026-02-01,5.0133988082381435,-2.2895434845466385,-0.9019529895249869,4.19704142011835
2026-03-01,5.013295620137896,-2.2873413894207024,-0.9018382733528436,4.19704142011835
2026-04-01,5.013195912526322,-2.2851767027251224,-0.9017309533647535,4.19704142011835
2026-05-01,5.013099568008087,-2.283048788978422,-0.9016305527008499,4.19704142011835
2026-06-01,5.013006473147552,-2.2809570234944645,-0.9015366252462194,4.19704142011835
2026-07-01,5.012916518335209,-2.278900792199065,-0.9014487536486586,4.19704142011835
2026-08-01,5.01282959765863,-2.276879491449719,-0.9013665474642341,4.19704142011835
2026-09-01,5.012745608777768,-2.2748925278583907,-0.9012896414224045,4.19704142011835
2026-10-01,5.012664452804459,-2.272939318117317,-0.9012176938029974,4.19704142011835
2026-11-01,5.012586034185992,-2.271019288827764,-0.901150384917828,4.19704142011835
2026-12-01,5.012510260592606,-2.2691318763316968,-0.9010874156902134,4.19704142011835
2027-01-01,5.012437042808784,-2.2672765265463095,-0.9010285063260726,4.19704142011835
