Date,beta0,beta1,beta2,lambda,rmse,Taux directeur,IPC,PIB,europe_beta0,europe_beta1,europe_beta2,europe_lambda,europe_rmse
2021-07-01,3.674189725976363,-2.2389988269920966,-1.2913324641391093,4.899999999999999,0.048166351911472,1.5,103.8,321314.0,0.6861097051697493,-1.2745975770067766,-2.22684878666833,2.6999999999999997,0.0167523958542232
2021-08-01,3.637804748793517,-2.181615209720572,-1.2093829026996632,4.899999999999999,0.0540930923083751,1.5,103.8,321314.0,0.5167090953270871,-1.1238757155090071,-2.1062734944378603,3.0,0.0128756130455964
2021-09-01,3.596810167175873,-2.1350164413878194,-1.0863657731456886,4.899999999999999,0.0596234503106953,1.5,104.5,321314.0,0.3284048521539938,-0.9319534669422826,-2.0846481587814965,2.8999999999999995,0.0102627976805841
2021-10-01,3.6225553602044,-2.1482066339754904,-1.126507971717961,4.899999999999999,0.0514550847684084,1.5,105.2,330432.0,0.5204507287286737,-1.157214352690764,-2.0095009197649976,2.7999999999999994,0.0131596348490049
2021-11-01,3.638204777702648,-2.1529408343191574,-1.1709706730008942,4.899999999999999,0.0453671564839936,1.5,105.4,330432.0,0.5182886938331294,-1.1968336137368014,-1.7312764490472086,2.3,0.0187694268581469
2021-12-01,3.70191901498741,-2.218636645498845,-1.3731160895360923,4.899999999999999,0.0420743729842396,1.5,105.5,330432.0,0.2740060224363478,-1.0955443100114073,-1.3492709012446071,2.2,0.0113890470144451
2022-01-01,3.685676199602984,-2.1573965575156087,-1.4514700507680487,4.899999999999999,0.043122666962103,1.5,105.5,320674.0,0.2004459470219939,-0.9774113527030668,-1.098433899256011,2.6,0.0047457827999156
2022-02-01,3.663937850923392,-2.0969988321079867,-1.4185598796169716,4.899999999999999,0.0500418080680474,1.5,106.1,320674.0,0.4071161998714469,-1.0824126693193858,-1.3377464992321688,2.0,0.0003201529533004
2022-03-01,3.603600813226053,-2.048631375911651,-1.057619614080468,4.899999999999999,0.0396015556117543,1.5,108.0,320674.0,0.5246650757558092,-1.2184141096243593,-1.368897228262442,1.1,0.0011587971596667
2022-04-01,3.5772295937690037,-2.0270091085527837,-0.9230841131825974,4.899999999999999,0.0313424218120609,1.5,109.9,330598.0,0.6752487118527996,-1.4101997405992437,-1.433793973340009,1.1,0.0036703580475891
2022-05-01,3.5887308643597216,-2.0095577642094136,-0.889917017050482,4.899999999999999,0.0428821970161865,1.5,110.2,330598.0,1.0492400733010905,-1.6960723362264014,-2.043825295839652,0.6,0.0050132059124501
2022-06-01,3.5926731123139994,-1.96627118739732,-0.8115583581227811,4.899999999999999,0.05275144727335,1.5,110.8,330598.0,1.3193943572420623,-1.8295900637156997,-1.905020906928116,0.7,0.0020257745620558
2022-07-01,3.556515535413133,-1.870190111972988,-0.6964588779132331,4.899999999999999,0.0654100662707177,1.5,111.8,338401.0,1.8359378889495503,-2.548210839752005,-0.116205816930663,0.8999999999999999,0.0218142389922135
2022-08-01,3.6021641612429063,-1.8763076082198744,-0.7140769219889544,4.899999999999999,0.0527280278299979,1.5,112.1,338401.0,1.7527912440157951,-1.9508961127868016,-0.0172577355541375,2.6999999999999997,0.0310667002554106
2022-09-01,3.758255041626806,-1.8494065437247136,-1.4576846456063253,4.899999999999999,0.0564957193598373,1.5,113.2,338401.0,1.588732817080624,-1.5506678811318837,0.0107348375302284,2.6999999999999997,0.0459868775488832
2022-10-01,3.6203541142571214,-1.5404909332620167,-0.8723998609707497,4.899999999999999,0.0798284813342909,2.0,113.7,343866.0,1.9964492372621636,-1.8432744380411368,0.0779680861138688,0.7,0.0540847502211656
2022-11-01,3.9295618531032126,-1.6436012361642427,-1.3267454213722234,2.6999999999999997,0.0247757687427389,2.0,114.2,343866.0,2.430722966426827,-1.6028345199018608,0.0254248881976247,0.8999999999999999,0.1007895479515262
2022-12-01,4.039362934036647,-1.4675865537929875,-1.0365627331798015,4.299999999999999,0.0588626007569242,2.0,114.3,343866.0,2.146230512489751,-1.2040074159281704,1.0210065275445634,0.5,0.0713493029601103
2023-01-01,4.003964252139154,-1.0878026740692617,-1.3551786457309596,4.1,0.0386437902146993,2.5,114.9,358578.0,2.106819346801648,-0.9346949925562538,1.480422898579217,0.5,0.0479498036129137
2023-02-01,5.292185192361355,-1.997089303324075,-1.152431489322093,4.899999999999999,0.072054664021544,2.5,116.8,358578.0,2.202428879788952,-0.3800854547988094,1.607111497227718,0.5,0.0496569756598664
2023-03-01,5.300671849839461,-2.069004029654852,-0.2990278608234291,4.899999999999999,0.1075291146490158,2.5,116.9,358578.0,2.378929146031225,-0.1808420594636521,1.6699094779418058,0.5,0.0423767931860713
2023-04-01,5.810337456619253,-2.614465734609696,-0.5487278930611181,4.899999999999999,0.0920249610620541,3.0,118.5,365163.0,2.4080385331815823,0.1959862052982445,1.0943306472668968,0.5,0.0471976232946578
2023-05-01,6.02731865034275,-2.832847689786677,-0.3397316805419633,4.899999999999999,0.0917006781201328,3.0,118.0,365163.0,2.609554310994144,0.4550902179870625,-1.1447670928134817,2.5,0.0593619207276778
2023-06-01,6.095991611371574,-2.988833255603612,-0.390342299453245,4.899999999999999,0.0715980654400751,3.0,116.9,365163.0,2.733016024491699,0.5076311706776377,-1.8751460138997884,2.3,0.0520956477473897
2023-07-01,6.066323406254281,-2.9679552291835063,-0.9032545007407649,4.899999999999999,0.0669051549231564,3.0,117.3,375313.0,2.666223945305071,0.8608354341268328,-1.765511851990491,2.6999999999999997,0.0587266898419276
2023-08-01,6.034269400351846,-2.9434127538304344,-1.7185435722914142,4.899999999999999,0.0662762961380994,3.0,117.7,375313.0,2.652082556042217,1.061527905036793,-1.616711447033668,2.6999999999999997,0.0575815279021423
2023-09-01,5.944832411032854,-2.86163349474288,-1.6830043154462448,4.899999999999999,0.06722163704792,3.0,118.7,375313.0,2.862566367803559,0.8722064213677924,-2.004604144301548,2.3,0.0565321444174153
2023-10-01,5.904245540450487,-2.809522620736613,-1.5683914804614882,4.899999999999999,0.0644552308816055,3.0,118.6,380710.0,3.0328743755418954,0.8296066838846121,-2.1582036164722207,2.3999999999999995,0.0569117727736863
2023-11-01,5.902563079718618,-2.898042163823977,-1.504051286791016,4.899999999999999,0.0649298695959884,3.0,118.3,380710.0,3.32360492403043,0.6764240193220352,-2.71311302863461,2.2,0.0306348904369071
2023-12-01,5.950079987062414,-2.9657256294061347,-1.701724114908011,4.899999999999999,0.0551024714347686,3.0,118.2,380710.0,3.142604920662168,0.8779575673895036,-3.1310312849635564,2.3,0.0267294732077042
2024-01-01,5.835007139865817,-2.812450492247226,-2.1592124296702857,4.899999999999999,0.064556936968737,3.0,117.5,383108.0,2.6889428685134718,1.3639107744577137,-3.888140280917116,2.1,0.029450153882425
2024-02-01,5.599609831471721,-2.534006139411724,-2.609792750474901,4.899999999999999,0.106479374099465,3.0,117.2,383108.0,2.779922416210788,1.4301506538108837,-4.134264427282756,1.9,0.0339931235274823
2024-03-01,5.307185664125519,-2.1588941347102284,-2.109498131548042,4.899999999999999,0.1071201362609212,3.0,118.0,383108.0,2.8330063067515825,1.3008131336508455,-3.446417559665338,2.0,0.0345582567480577
2024-04-01,5.258673504234904,-2.171082467242712,-2.0611555752715014,4.899999999999999,0.0850890611416262,3.0,118.7,390419.0,2.802870933485533,1.257644004639387,-3.166233588946278,2.2,0.0355126997165207
2024-05-01,5.248768746954804,-2.1396969659505976,-2.037579336770692,4.899999999999999,0.0805268990373453,3.0,118.5,390419.0,2.8781494282457394,1.1082813709536956,-2.864253045464765,2.1,0.0492886228258839
2024-06-01,5.18563791970964,-2.113078008684704,-1.854953989949708,4.899999999999999,0.0779410462576613,3.0,119.0,390419.0,2.907958718457323,0.980803886693259,-2.5187699075807464,2.2,0.0474377793404502
2024-07-01,5.178733662731468,-2.0846426595532885,-1.943649296029154,4.899999999999999,0.0743268759681253,2.75,118.8,407904.0,2.953571836716903,0.7538584674850701,-2.578836496547925,2.3999999999999995,0.0478620504655443
2024-08-01,5.073673728905342,-2.3320477773330417,-1.840592516872862,4.899999999999999,0.0657165648066927,2.75,119.7,407904.0,3.0041609978528983,0.611825345395527,-2.8143281042645785,2.3999999999999995,0.0531953108785369
2024-09-01,5.086588054857496,-2.392562520070664,-1.99198511800534,4.899999999999999,0.05909777498324,2.75,119.7,407904.0,2.753267593958625,0.8338464509897555,-3.266041174102102,1.7999999999999998,0.0474927644096998
2024-10-01,5.06899747721994,-2.350625573474699,-2.5440700829758693,4.899999999999999,0.0696077922598259,2.75,119.4,415368.0,2.751502014371879,0.8459032417752161,-3.736728267037939,1.5999999999999996,0.0367363558322062
2024-11-01,5.003697265889903,-2.22853131851139,-2.6269548464332653,4.899999999999999,0.053362070576662,2.75,119.2,415368.0,2.84070693148734,0.4207697665279269,-3.4393538462083435,1.5999999999999996,0.0364268694263239
2024-12-01,4.852767344602002,-2.1449497776103224,-2.3495855336152114,4.899999999999999,0.0528738583276954,2.75,119.0,415368.0,2.7717774351460003,0.3213696274837958,-2.9617968049097017,1.4,0.0386681213776599
2025-01-01,4.845679339471663,-2.191855459283761,-2.202978302560868,4.899999999999999,0.0457251770516166,2.5,119.9,409669.0,2.6362568208156514,0.2365904220025606,-2.791510318069955,1.4,0.0390868791881573
2025-02-01,4.754998028760265,-2.2254063472332644,-2.1951849572285296,4.899999999999999,0.0412863584003962,2.5,120.3,409669.0,2.987582643320387,-0.2365123921993812,-2.427124004723369,1.4999999999999998,0.044223919282896
2025-03-01,4.712874138323205,-2.149497748833383,-2.1348552051874408,4.899999999999999,0.0441320440371244,2.5,119.9,409669.0,2.929231209984358,-0.4631771888153519,-2.258328975030294,1.5999999999999996,0.0380287401703979
2025-04-01,4.675595477701942,-2.2003127841786903,-2.173254444756404,4.899999999999999,0.0404931530365476,2.25,119.5,420816.0,3.3937744130733494,-1.024564647933873,-2.5106066010405748,1.5999999999999996,0.0500786775459299
2025-05-01,4.477053567928874,-2.2040254714735883,-2.041236541806363,4.899999999999999,0.0242210447797632,2.25,119.0,420816.0,3.3124527995549697,-1.102850318725653,-3.2418385352392955,1.5999999999999996,0.0541135519501262
2025-06-01,4.528391870154675,-2.334050641020118,-2.5185811786006105,4.899999999999999,0.0292306651152105,2.25,119.5,420816.0,3.4074815351863963,-1.338442576591059,-3.0458511462743068,1.6999999999999995,0.049641495007388
2025-07-01,4.322034992050072,-2.173660064733891,-2.0763498691036366,4.899999999999999,0.0352937012327719,2.25,119.4,431008.0,3.363758551755491,-1.4252722695299995,-2.5212632304867317,1.9,0.0489510399795262
2025-08-01,4.429267050662455,-2.2408373023997634,-2.417904106964412,4.899999999999999,0.0210207756225913,2.25,120.0,431008.0,3.5333621876842822,-1.5952060595545152,-2.685510451841008,1.9,0.0454592233985334
2025-09-01,4.389163017703845,-2.187349176217729,-2.4079698030012637,4.899999999999999,0.0251712486007599,2.25,120.2,431008.0,3.6746219859349054,-1.701326618631959,-2.669565176312381,2.1,0.0430342793785761
2025-10-01,4.3172226025039935,-2.158601430818765,-2.1451702666995085,4.899999999999999,0.0350807293626369,2.25,119.5,443762.0,3.7591418830921737,-1.7568741504585286,-2.6280810919601043,2.3,0.0410629460076457
2025-11-01,4.284621777506911,-2.054621235501856,-1.8373631223172688,4.899999999999999,0.0370903754565801,2.25,118.8,443762.0,3.641948617090193,-1.6654319246389475,-2.500176132047104,2.3,0.0408416851819196
2025-12-01,4.29141007695615,-2.055888612168148,-1.5899928026734833,4.899999999999999,0.0401444693803015,2.25,118.7,443762.0,3.717488362980827,-1.7419458540558792,-2.396841919603304,2.3999999999999995,0.0363988447415232
